title,url,category,technologies,english,experience
Python Engineer,https://djinni.co/jobs/481290-python-engineer/,Python,,Advanced/Fluent,3
Senior Python Engineer,https://djinni.co/jobs/481279-senior-python-engineer/,Python,,Upper-Intermediate,3
Python Developer,https://djinni.co/jobs/480790-python-developer/,Python,,Upper-Intermediate,5
Senior Python Developer IRC167857,https://djinni.co/jobs/480780-senior-python-developer-irc167857/,Python,['Python'],Intermediate,3
Senior Software Engineer (Python),https://djinni.co/jobs/221713-senior-software-engineer-python-/,Python,,Intermediate,5
"Python Tech Lead / Senior Python Developer
          

          

          
  
    
      $7000-11000",https://djinni.co/jobs/480636-python-tech-lead-senior-python-developer/,Python,"['Python', 'AWS', 'Leadership & Team management', 'Full Stack', 'back-end', 'REST API']",Pre-Intermediate,2
Python Developer (middle),https://djinni.co/jobs/480610-python-developer-middle-/,Python,,Beginner/Elementary,1
Senior Python Engineer,https://djinni.co/jobs/480591-senior-python-engineer/,Python,,Intermediate,3
Middle/Senior Python Developer,https://djinni.co/jobs/480523-middle-senior-python-developer/,Python,"['Python', 'AWS', 'Postgre SQL', 'Django']",Upper-Intermediate,3
Lead Python Engineer,https://djinni.co/jobs/480507-lead-python-engineer/,Python,"['Big Data', 'Flask', 'Postgre SQL', 'Azure', 'Microservices']",Intermediate,5
DeFi Solutions Developer,https://djinni.co/jobs/464568-defi-solutions-developer/,Python,"['JavaScript', 'Python', 'Solidity', 'smart contracts']",Advanced/Fluent,2
